workload,intensity,mode,replica,throughput,cpu_pct_avg
cpu_stress,1,with_sampler,1,1899,98.60
cpu_stress,1,with_sampler,2,2596,158.53
cpu_stress,1,with_sampler,3,2422,95.78
cpu_stress,1,with_sampler,4,2094,98.52
cpu_stress,1,with_sampler,5,2078,98.35
cpu_stress,1,no_sampler,1,1842,0
cpu_stress,1,no_sampler,2,1779,0
cpu_stress,1,no_sampler,3,1799,0
cpu_stress,1,no_sampler,4,1838,0
cpu_stress,1,no_sampler,5,1773,0
cpu_stress,2,with_sampler,1,558,98.43
cpu_stress,2,with_sampler,2,553,98.37
cpu_stress,2,with_sampler,3,546,98.34
cpu_stress,2,with_sampler,4,782,69.91
cpu_stress,2,with_sampler,5,560,98.38
cpu_stress,2,no_sampler,1,434,0
cpu_stress,2,no_sampler,2,538,0
cpu_stress,2,no_sampler,3,524,0
cpu_stress,2,no_sampler,4,343,0
cpu_stress,2,no_sampler,5,441,0
mem_stress,1,with_sampler,1,30,0
mem_stress,1,with_sampler,2,30,0
mem_stress,1,with_sampler,3,40,0
mem_stress,1,with_sampler,4,39,0
mem_stress,1,with_sampler,5,32,0
mem_stress,1,no_sampler,1,38,0
mem_stress,1,no_sampler,2,30,0
mem_stress,1,no_sampler,3,31,0
mem_stress,1,no_sampler,4,41,0
mem_stress,1,no_sampler,5,41,0
mem_stress,2,with_sampler,1,10,0
mem_stress,2,with_sampler,2,8,0
mem_stress,2,with_sampler,3,8,0
mem_stress,2,with_sampler,4,8,0
mem_stress,2,with_sampler,5,8,0
mem_stress,2,no_sampler,1,9,0
mem_stress,2,no_sampler,2,8,0
mem_stress,2,no_sampler,3,8,0
mem_stress,2,no_sampler,4,7,0
mem_stress,2,no_sampler,5,7,0
io_stress,1,with_sampler,1,10,0
io_stress,1,with_sampler,2,12,0
io_stress,1,with_sampler,3,12,0
io_stress,1,with_sampler,4,11,0
io_stress,1,with_sampler,5,13,0
io_stress,1,no_sampler,1,16,0
io_stress,1,no_sampler,2,16,0
io_stress,1,no_sampler,3,15,0
io_stress,1,no_sampler,4,17,0
io_stress,1,no_sampler,5,17,0
io_stress,2,with_sampler,1,3,0
io_stress,2,with_sampler,2,3,0
io_stress,2,with_sampler,3,2,0
io_stress,2,with_sampler,4,3,0
io_stress,2,with_sampler,5,2,0
io_stress,2,no_sampler,1,3,0
io_stress,2,no_sampler,2,3,0
io_stress,2,no_sampler,3,3,0
io_stress,2,no_sampler,4,3,0
io_stress,2,no_sampler,5,4,0
