run_id,env,profile,workload,intensity,replica,cpu_pct_avg,mem_rss_avg_kb,io_read_bytes,io_write_bytes,probe_p99_us,throughput,duration_s,timestamp
1,host,none,cpu_stress,1,1,100.17,0,0,0,6783.48,2666,10,1780855271
2,host,none,cpu_stress,1,2,99.99,0,0,0,6721.49,2946,10,1780855281
3,host,none,cpu_stress,1,3,100.06,0,0,0,5903.44,3198,10,1780855292
4,host,none,cpu_stress,1,4,99.98,0,0,0,7612.12,2811,10,1780855302
5,host,none,cpu_stress,1,5,99.98,0,0,0,9089.70,2491,10,1780855312
6,host,none,cpu_stress,1,6,99.43,0,0,0,8331.63,2635,10,1780855323
7,host,none,cpu_stress,1,7,104.26,0,0,0,6815.25,2850,10,1780855333
8,host,none,cpu_stress,1,8,99.88,0,0,0,5706.82,3097,10,1780855343
9,host,none,cpu_stress,1,9,99.97,0,0,0,5806.03,2577,10,1780855353
10,host,none,cpu_stress,1,10,100.29,0,0,0,5213.48,3037,10,1780855364
11,host,none,cpu_stress,1,11,100.07,0,0,0,5481.28,3239,10,1780855374
12,host,none,cpu_stress,1,12,100.15,0,0,0,7536.37,3404,10,1780855384
13,host,none,cpu_stress,1,13,100.19,0,0,0,6085.63,3328,10,1780855394
14,host,none,cpu_stress,1,14,99.89,0,0,0,4033.95,3352,10,1780855405
15,host,none,cpu_stress,1,15,113.12,0,0,0,5471.03,3659,10,1780855415
16,host,none,cpu_stress,1,16,100.22,0,0,0,3884.08,3305,10,1780855426
17,host,none,cpu_stress,1,17,125.23,0,0,0,5724.26,4347,10,1780855436
18,host,none,cpu_stress,1,18,100.10,0,0,0,4217.79,3314,10,1780855446
19,host,none,cpu_stress,1,19,107.77,0,0,0,4404.37,3500,10,1780855456
20,host,none,cpu_stress,1,20,99.80,0,0,0,4205.00,3324,10,1780855466
21,host,none,cpu_stress,1,21,100.19,0,0,0,4583.02,3389,10,1780855477
22,host,none,cpu_stress,1,22,98.54,0,0,0,3716.46,3834,10,1780855487
23,host,none,cpu_stress,1,23,100.26,0,0,0,4518.25,3440,10,1780855497
24,host,none,cpu_stress,1,24,100.00,0,0,0,5016.11,3251,10,1780855507
25,host,none,cpu_stress,1,25,100.03,0,0,0,4110.81,3306,10,1780855517
26,host,none,cpu_stress,1,26,99.42,0,0,0,4061.47,3604,10,1780855528
27,host,none,cpu_stress,1,27,100.09,0,0,0,5239.56,3199,10,1780855538
28,host,none,cpu_stress,1,28,100.30,0,0,0,4699.90,3240,10,1780855548
29,host,none,cpu_stress,1,29,100.15,0,0,0,3633.50,3411,10,1780855558
30,host,none,cpu_stress,1,30,99.93,0,0,0,6839.11,3189,10,1780855568
31,docker,baseline,cpu_stress,1,1,100.44,0,0,0,6209.12,2957,10,1780855619
32,docker,baseline,cpu_stress,1,2,100.18,0,0,0,6875.26,2793,10,1780855631
33,docker,baseline,cpu_stress,1,3,100.08,0,0,0,4480.51,3143,10,1780855642
34,docker,baseline,cpu_stress,1,4,99.83,0,0,0,5319.39,3135,10,1780855653
35,docker,baseline,cpu_stress,1,5,100.10,0,0,0,4186.36,3247,10,1780855663
36,docker,baseline,cpu_stress,1,6,97.33,0,0,0,8427.76,2673,10,1780855675
37,docker,baseline,cpu_stress,1,7,99.98,0,0,0,7659.26,3009,10,1780855686
38,docker,baseline,cpu_stress,1,8,99.91,0,0,0,4975.82,3195,10,1780855697
39,docker,baseline,cpu_stress,1,9,100.08,0,0,0,4821.96,3178,10,1780855708
40,docker,baseline,cpu_stress,1,10,100.01,0,0,0,4071.61,3033,10,1780855718
41,docker,baseline,cpu_stress,1,11,100.18,0,0,0,4895.38,3225,10,1780855729
42,docker,baseline,cpu_stress,1,12,100.44,0,0,0,8290.30,3076,10,1780855740
43,docker,baseline,cpu_stress,1,13,100.03,0,0,0,7169.34,3238,10,1780855751
44,docker,baseline,cpu_stress,1,14,99.97,0,0,0,4269.15,3118,10,1780855762
45,docker,baseline,cpu_stress,1,15,118.95,0,0,0,4075.43,4093,10,1780855773
46,docker,baseline,cpu_stress,1,16,100.32,0,0,0,4717.73,3253,10,1780855784
47,docker,baseline,cpu_stress,1,17,99.50,0,0,0,6254.58,3470,10,1780855794
48,docker,baseline,cpu_stress,1,18,99.87,0,0,0,5296.06,3251,10,1780855805
49,docker,baseline,cpu_stress,1,19,99.87,0,0,0,4100.59,3208,10,1780855816
50,docker,baseline,cpu_stress,1,20,115.08,0,0,0,8027.25,4111,10,1780855828
51,docker,baseline,cpu_stress,1,21,115.82,0,0,0,3586.97,3939,10,1780855838
52,docker,baseline,cpu_stress,1,22,99.86,0,0,0,5841.05,3192,10,1780855849
53,docker,baseline,cpu_stress,1,23,100.03,0,0,0,4895.65,3120,10,1780855860
54,docker,baseline,cpu_stress,1,24,100.22,0,0,0,5050.41,3224,10,1780855871
55,docker,baseline,cpu_stress,1,25,100.33,0,0,0,7068.50,3161,10,1780855882
56,docker,baseline,cpu_stress,1,26,100.01,0,0,0,4651.65,3217,10,1780855893
57,docker,baseline,cpu_stress,1,27,99.74,0,0,0,6409.30,3302,10,1780855903
58,docker,baseline,cpu_stress,1,28,99.99,0,0,0,6556.92,3083,10,1780855914
59,docker,baseline,cpu_stress,1,29,101.11,0,0,0,4840.42,3236,10,1780855925
60,docker,baseline,cpu_stress,1,30,99.99,0,0,0,4990.09,3247,10,1780855936
61,docker,cpu-limit,cpu_stress,1,1,95.40,0,0,0,7023.66,3106,10,1780855977
62,docker,cpu-limit,cpu_stress,1,2,93.07,0,0,0,5234.18,2938,10,1780855988
63,docker,cpu-limit,cpu_stress,1,3,96.01,0,0,0,6024.20,3053,10,1780855999
64,docker,cpu-limit,cpu_stress,1,4,95.84,0,0,0,6828.23,2952,10,1780856010
65,docker,cpu-limit,cpu_stress,1,5,82.85,0,0,0,4318.70,2492,10,1780856021
66,docker,cpu-limit,cpu_stress,1,6,88.68,0,0,0,4234.19,3043,10,1780856032
67,docker,cpu-limit,cpu_stress,1,7,92.39,0,0,0,4646.26,3052,10,1780856043
68,docker,cpu-limit,cpu_stress,1,8,93.32,0,0,0,4449.90,2949,10,1780856054
69,docker,cpu-limit,cpu_stress,1,9,95.51,0,0,0,6170.24,3126,10,1780856065
70,docker,cpu-limit,cpu_stress,1,10,91.31,0,0,0,5543.46,2860,10,1780856076
71,docker,cpu-limit,cpu_stress,1,11,88.42,0,0,0,3780.99,3529,10,1780856090
