ts_sec,container,cpu_pct,mem_current_kb,mem_peak_kb,io_rbytes,io_wbytes
1780772988,perf_baseline,100.49,6792,7268,0,0
1780772989,perf_baseline,100.84,6800,7308,0,0
1780772990,perf_baseline,100.76,6804,7568,0,0
1780772991,perf_baseline,100.74,6804,7568,0,0
1780772992,perf_baseline,112.54,6808,9604,0,0
1780772993,perf_baseline,100.62,6808,9604,0,0
1780772994,perf_baseline,100.50,6812,9604,0,0
1780772995,perf_baseline,100.73,6812,9604,0,0
1780772996,perf_baseline,100.72,6816,9604,0,0
1780772997,perf_baseline,104.27,8680,9604,0,0
1780772998,perf_baseline,108.02,6816,9696,0,0
1780772999,perf_baseline,100.83,7076,9696,0,0
1780773000,perf_baseline,100.79,6820,9696,0,0
1780773001,perf_baseline,100.78,6820,9696,0,0
