ts,source,cpu_pct,mem_mb
1780870115,docker_stats,129.27,6.434
1780870117,docker_stats,122.86,6.434
1780870120,docker_stats,121.89,6.684
1780870122,docker_stats,115.87,6.438
1780870125,docker_stats,148.90,6.477
1780870127,docker_stats,116.83,6.691
1780870129,docker_stats,123.26,6.445
1780870131,docker_stats,117.37,6.449
1780870134,docker_stats,115.91,6.453
1780870136,docker_stats,115.35,6.703
1780870138,docker_stats,118.88,6.707
1780870141,docker_stats,151.14,6.711
1780870143,docker_stats,116.75,6.461
