ts,source,cpu_pct,mem_rss_mb
1780870115,perfanalyzer,100.68,6.93
1780870116,perfanalyzer,100.97,6.93
1780870118,perfanalyzer,100.94,6.93
1780870119,perfanalyzer,124.1,6.95
1780870120,perfanalyzer,100.46,6.94
1780870121,perfanalyzer,100.91,6.72
1780870122,perfanalyzer,100.34,6.94
1780870124,perfanalyzer,101.0,6.94
1780870125,perfanalyzer,110.65,6.95
1780870126,perfanalyzer,100.7,6.95
1780870127,perfanalyzer,100.87,6.95
1780870128,perfanalyzer,101.4,6.95
1780870130,perfanalyzer,112.09,7.01
1780870131,perfanalyzer,100.68,6.79
1780870132,perfanalyzer,100.92,6.73
1780870133,perfanalyzer,100.79,6.95
1780870134,perfanalyzer,100.85,7.2
1780870135,perfanalyzer,115.42,6.96
1780870137,perfanalyzer,100.73,6.96
1780870138,perfanalyzer,101.43,6.74
1780870139,perfanalyzer,101.09,6.96
1780870140,perfanalyzer,116.25,7.05
1780870141,perfanalyzer,100.68,6.96
1780870143,perfanalyzer,100.8,6.96
